type,workspace,send_date,campaign_or_step,sends,opens,open_rate,clicks,click_rate,ctor,orders_xbrand,revenue_xbrand,rev_per_1k
blast,ID,2026-06-30,P_EM_2026_06_30_D_TRADE_ID_Warehouse_Sale_Reminder,22079,9594,0.4345,246,0.0111,0.0256,2,6678.32,302.47
blast,ID,2026-07-06,P_EM_2026_07_07_TRADE_ID_PC_D_Best_Sellers_Sleepers,22094,9370,0.4241,127,0.0057,0.0136,0,0.00,0.00
blast,ID,2026-07-12,P_EM_2026_07_13_TRADE_PT_ID_Warehouse_Sale_Reminder,22140,9646,0.4357,424,0.0192,0.0440,2,4743.52,214.25
blast,ID,2026-07-14,P_EM_2026_07_14_TRADE_ID_PC_D_Cyrus_Collection_Launch,22020,9115,0.4139,146,0.0066,0.0160,0,0.00,0.00
blast,ID,2026-07-14,P_EM_2026_07_15_TRADE_PT_ID_Trade_Offer_Boost_Reminder,22101,8823,0.3992,220,0.0100,0.0249,0,0.00,0.00
trigger_step,ID,,T1 (entry),8416,5105,0.6066,1028,0.1221,0.2014,39,89884.87,10680.24
trigger_step,ID,,T2 ID Spotlight,5595,3259,0.5825,185,0.0331,0.0568,1,1907.40,340.91
trigger_step,ID,,T3 CZ Spotlight,5369,3022,0.5629,146,0.0272,0.0483,0,0.00,0.00
trigger_step,ID,,T4 TI Spotlight,5135,2824,0.5500,84,0.0164,0.0297,1,2487.88,484.49
trigger_step,ID,,T5 SF Spotlight,5014,2723,0.5431,111,0.0221,0.0408,0,0.00,0.00
trigger_TOTAL,ID,,Trade Welcome Series — FULL canvas total (all 5 steps + every utm version),29529,16933,0.5734,1554,0.0526,0.0918,41,94280.15,3192.80
